MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Street_0,Alley_0,LotShape_0,CentralAir_0,GarageType_0,Fence_0,PavedDrive_0,LandSlope_0,GarageFinish_0,Electrical_0,SaleCondition_0,SaleType_0,MSSubClass_0,MSZoning_0,ExterQual_0,ExterCond_0,BsmtQual_0,BsmtCond_0,BsmtExposure_0,BsmtFinType1_0,BsmtFinType2_0,HeatingQC_0,KitchenQual_0,FireplaceQu_0,GarageQual_0,GarageCond_0,PoolQC_0,Functional_0,AggSF,bath_score,porch_area,n_porch,pool,pool_score,heat_fireplace_fQc,overall_score,exter_score,Kitchen_score,yr_group,basement_score,big_med_area,Yrs_Remodel,remodel_group,veneer,SalePrice,N_coded_mean,garage_score,HouseAge,liv_ratio,room_size,Total_Rooms,lowqual_ratio,GrLivArea_Score,BsmtFinSF_score,TotalBath_Abv,TotalBath_Bsmt,Bsm_1stFlr_ratio,CarArea,MSSubClass_,YrSold_,MoSold_,YearBuilt_,YearRemodAdd_,GarageYrBlt_,MSZoning_labeled,Street_labeled,Alley_labeled,LotShape_labeled,LandContour_labeled,LotConfig_labeled,LandSlope_labeled,Neighborhood_labeled,Condition1_labeled,Condition2_labeled,BldgType_labeled,HouseStyle_labeled,RoofStyle_labeled,RoofMatl_labeled,Exterior1st_labeled,Exterior2nd_labeled,MasVnrType_labeled,ExterQual_labeled,ExterCond_labeled,Foundation_labeled,BsmtQual_labeled,BsmtCond_labeled,BsmtExposure_labeled,BsmtFinType1_labeled,BsmtFinType2_labeled,Heating_labeled,HeatingQC_labeled,CentralAir_labeled,Electrical_labeled,KitchenQual_labeled,Functional_labeled,FireplaceQu_labeled,GarageType_labeled,GarageFinish_labeled,GarageQual_labeled,GarageCond_labeled,PavedDrive_labeled,PoolQC_labeled,Fence_labeled,MiscFeature_labeled,SaleType_labeled,SaleCondition_labeled,MSSubClass__labeled,YrSold__labeled,MoSold__labeled,YearBuilt__labeled,YearRemodAdd__labeled,GarageYrBlt__labeled
60,RL,65.0,8450,Pave,Does Not Have,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,1.1062522008643465,Unf,0.0,1.0277016161093295,1.1145303702236657,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,Does Not Have,Attchd,2003.0,RFn,2,548,TA,TA,Y,0,61,0,0,0,0,Does Not Have,Does Not Have,Does Not Have,0,2,2008,WD,Normal,1,2,3,1,5,0,2,2,2,4,4,4,14,4,3,2,4,3,1,6,1,4,3,0,3,3,0,7,3114,5.5,61,1,0,0,0,35,6,3,0,6.802613700364981,1,5,0,1,208500,197790.31817048488,16.5,5,0.20236686390532543,213.75,12,0.0,11970,0.0,2.5,1.0,0.0013020214605416656,274.0,60,2008,2,2003,2003,2003.0,3,1,0,3,3,4,0,5,2,2,0,5,1,0,12,13,1,2,4,2,3,4,4,3,6,1,0,1,4,2,6,0,1,2,5,5,2,0,0,0,8,4,9,2,4,104,53,90
20,RL,80.0,9600,Pave,Does Not Have,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,1.1200986118627483,Unf,0.0,1.0629820358743056,1.1304155384558163,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,460,TA,TA,Y,298,0,0,0,0,0,Does Not Have,Does Not Have,Does Not Have,0,5,2007,WD,Normal,1,2,3,1,5,0,2,2,2,4,4,4,11,4,2,2,4,3,4,5,1,4,2,3,3,3,0,7,2984,4.25,298,1,0,0,12,48,4,2,1,5.827899268368626,0,31,2,0,181500,229067.0159910698,16.5,31,0.13145833333333334,210.33333333333334,9,0.0,7572,0.0,2.0,0.5,0.000895733390218555,230.0,20,2007,5,1976,1976,1976.0,3,1,0,3,3,2,0,24,1,2,0,2,1,0,8,8,2,3,4,1,3,4,2,0,6,1,0,1,4,3,6,5,1,2,5,5,2,0,0,0,8,4,4,1,7,77,26,63
60,RL,68.0,11250,Pave,Does Not Have,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,1.089386432114006,Unf,0.0,1.0840454899170655,1.1175591660173008,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,Y,0,42,0,0,0,0,Does Not Have,Does Not Have,Does Not Have,0,9,2008,WD,Normal,1,2,2,1,5,0,2,2,2,4,4,4,14,4,3,2,4,3,2,6,1,4,3,3,3,3,0,7,3314,5.5,42,1,0,0,12,35,6,3,0,6.703330305083374,1,6,0,1,223500,197790.31817048488,16.5,7,0.15875555555555557,297.6666666666667,10,0.0,12502,0.0,2.5,1.0,0.0012147382239318487,304.0,60,2008,9,2001,2002,2001.0,3,1,0,0,3,4,0,5,2,2,0,5,1,0,12,13,1,2,4,2,3,4,3,3,6,1,0,1,4,2,6,5,1,2,5,5,2,0,0,0,8,4,9,2,11,102,52,88
70,RL,60.0,9550,Pave,Does Not Have,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,1.048424351022507,Unf,0.0,1.0942603235691308,1.1092239152696295,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,642,TA,TA,Y,0,35,272,0,0,0,Does Not Have,Does Not Have,Does Not Have,0,2,2006,WD,Abnorml,1,2,2,1,2,0,2,2,1,4,1,4,10,4,2,2,3,4,1,5,1,3,3,4,3,3,0,7,3115,2.5,307,2,0,0,12,35,4,3,2,5.537750103892095,0,36,2,0,140000,208618.69984798378,14.0,91,0.17979057591623038,245.28571428571428,9,0.0,12019,0.0,1.0,1.0,0.0011542392458580952,214.0,70,2006,2,1915,1970,1998.0,3,1,0,0,3,0,0,6,2,2,0,5,1,0,13,15,2,3,4,0,4,2,4,0,6,1,2,1,4,2,6,3,5,3,5,5,2,0,0,0,8,0,10,0,4,19,20,85
60,RL,84.0,14260,Pave,Does Not Have,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1.1029548752656009,Unf,0.0,1.089768979246119,1.1265291486982683,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,836,TA,TA,Y,192,84,0,0,0,0,Does Not Have,Does Not Have,Does Not Have,0,12,2008,WD,Normal,1,2,2,1,5,0,2,2,2,4,4,4,14,4,3,2,4,3,3,6,1,4,3,3,3,3,0,7,4179,5.5,276,2,0,0,12,40,6,3,0,6.739756143026515,0,8,0,1,250000,323182.69526876154,18.5,8,0.1541374474053296,244.22222222222223,13,0.0,17584,0.0,2.5,1.0,0.0009838682521382256,278.6666666666667,60,2008,12,2000,2000,2000.0,3,1,0,0,3,2,0,15,2,2,0,5,1,0,12,13,1,2,4,2,3,4,0,3,6,1,0,1,4,2,6,5,1,2,5,5,2,0,0,0,8,4,9,2,3,101,50,87
50,RL,85.0,14115,Pave,Does Not Have,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,1.1078272373817757,Unf,0.0,0.972187368078744,1.1114399372143975,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,Does Not Have,Attchd,1993.0,Unf,2,480,TA,TA,Y,40,30,0,320,0,0,Does Not Have,MnPrv,Shed,700,10,2009,WD,Normal,1,2,2,1,5,3,2,2,1,4,4,4,6,4,2,2,4,3,1,6,1,4,2,0,3,3,0,7,2638,3.5,390,3,0,0,0,25,4,2,0,6.773997044005922,1,14,0,0,143000,157744.29004207143,15.0,16,0.09649309245483528,272.4,8,0.0,6810,0.0,1.5,1.0,0.0013962813281587908,240.0,50,2009,10,1993,1995,1993.0,3,1,0,0,3,4,0,11,2,2,0,0,1,0,12,13,2,3,4,5,3,4,4,3,6,1,0,1,4,3,6,0,1,3,5,5,2,0,3,3,8,4,8,3,1,94,45,80
20,RL,75.0,10084,Pave,Does Not Have,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1.1336197565343222,Unf,0.0,1.0686087515806848,1.1416336693019722,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,636,TA,TA,Y,255,57,0,0,0,0,Does Not Have,Does Not Have,Does Not Have,0,8,2007,WD,Normal,1,2,3,1,5,0,2,2,2,4,4,4,11,4,3,2,5,3,3,6,1,4,3,4,3,3,0,7,4016,4.5,312,2,0,0,16,40,6,3,0,6.826189028346571,1,2,0,1,307000,224283.8576837785,16.5,3,0.16798889329631098,242.0,10,0.0,13552,0.0,2.0,1.0,0.0006739277858925455,318.0,20,2007,8,2004,2005,2004.0,3,1,0,3,3,4,0,21,2,2,0,2,1,0,12,13,3,2,4,2,1,4,0,3,6,1,0,1,4,2,6,3,1,2,5,5,2,0,0,0,8,4,4,1,10,105,55,91
60,RL,80.0,10382,Pave,Does Not Have,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,1.1146781866660276,BLQ,0.9176102601156579,1.048424351022507,1.1251664829086878,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,484,TA,TA,Y,235,204,228,0,0,0,Does Not Have,Does Not Have,Shed,350,11,2009,WD,Normal,1,2,2,1,5,0,2,2,2,4,4,4,14,4,2,2,4,3,2,5,4,4,2,3,3,3,0,7,3681,5.5,667,3,0,0,24,42,4,2,1,8.703336512314532,1,36,2,1,200000,188941.59485501828,16.5,36,0.20130995954536698,298.57142857142856,11,0.0,14630,1.0228401408118635,2.5,1.0,0.0010164105536663846,242.0,60,2009,11,1973,1973,1973.0,3,1,0,0,3,0,0,14,4,2,0,5,1,0,6,6,3,3,4,1,3,4,3,0,1,1,0,1,4,3,6,5,1,2,5,5,2,0,0,3,8,4,9,3,2,74,23,60
50,RM,51.0,6120,Pave,Does Not Have,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,1.118982601465353,1.118982601465353,GasA,Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,468,Fa,TA,Y,90,0,205,0,0,0,Does Not Have,Does Not Have,Does Not Have,0,4,2008,WD,Abnorml,1,2,3,1,2,0,2,2,1,2,1,4,6,2,2,2,3,3,1,1,1,3,2,3,2,3,0,6,3194,4.0,295,2,0,0,18,35,4,4,2,1.0,1,58,1,0,129900,129120.76878973105,11.5,77,0.28986928104575166,221.75,12,0.0,12418,0.0,2.0,0.0,0.001094894913371187,234.0,50,2008,4,1931,1950,1931.0,4,1,0,3,3,4,0,17,0,2,0,0,1,0,3,15,2,3,4,0,4,4,4,6,6,1,2,1,1,3,2,5,5,3,2,5,2,0,0,0,8,0,8,2,6,35,0,20
190,RL,50.0,7420,Pave,Does Not Have,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,1.1142826575705334,Unf,0.0,1.0235951562943069,1.1206437078606715,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,205,Gd,TA,Y,0,4,0,0,0,0,Does Not Have,Does Not Have,Does Not Have,0,1,2008,WD,Normal,1,2,3,1,5,0,2,2,2,4,4,4,3,4,2,2,3,3,1,6,1,4,2,3,4,3,0,7,2273,2.5,4,1,0,0,24,30,4,4,2,6.806310457141328,0,58,1,0,118000,126758.78876588785,15.0,69,0.14514824797843665,215.4,8,0.0,5385,0.0,1.0,1.0,0.0010405234056273644,205.0,190,2008,1,1939,1950,1939.0,3,1,0,3,3,0,0,3,0,0,1,1,1,0,8,8,2,3,4,0,4,4,4,3,6,1,0,1,4,3,6,5,1,2,3,5,2,0,0,0,8,4,3,2,0,42,0,28
